Frame,GridMask...,img_backbone...,img_neck...,pts_bbox_head.get_bev_features,pts_bbox_head.get_detections...,UniADTrack.simple_test_track,PansegformerHead.forward_test,MotionHead.forward_test,OccHead.forward_test,PlanningHeadSingleMode.forward_test,velo_update...
146,8532.0,18379.0,8657.0,17468.0,9490.0,99700.0,18996.0,19310.0,19667.0,8764.0,8734.0
147,7751.0,19602.0,9788.0,9510.0,10135.0,92880.0,18396.0,29805.0,10101.0,9068.0,8695.0
148,18240.0,9617.0,8294.0,17983.0,18882.0,109551.0,28893.0,9088.0,18666.0,9656.0,8460.0
149,8917.0,18857.0,9895.0,9278.0,19527.0,93291.0,19205.0,18326.0,18929.0,9083.0,7842.0
150,7504.0,19337.0,8830.0,8610.0,18104.0,89154.0,18204.0,9490.0,28289.0,9724.0,8256.0
151,9038.0,18822.0,8197.0,18423.0,8522.0,89441.0,17903.0,18636.0,18757.0,9266.0,7753.0
152,8528.0,18618.0,9429.0,19214.0,19566.0,112399.0,18920.0,9531.0,19763.0,8277.0,8640.0
153,8834.0,18531.0,8955.0,18480.0,18328.0,110603.0,28541.0,17702.0,19084.0,9299.0,9052.0
154,8348.0,18497.0,9271.0,28422.0,17989.0,120204.0,27830.0,17921.0,18870.0,7698.0,8249.0
155,7874.0,19248.0,9184.0,18415.0,19635.0,111478.0,28210.0,18782.0,18389.0,8127.0,7945.0
156,8905.0,19082.0,9346.0,19205.0,8666.0,103196.0,28637.0,18729.0,8554.0,8559.0,18672.0
157,9208.0,18109.0,9129.0,8167.0,18236.0,110321.0,19313.0,19239.0,9424.0,18330.0,18408.0
158,7769.0,19436.0,8246.0,18707.0,9154.0,91285.0,19154.0,9126.0,18397.0,9673.0,
159,8868.0,18706.0,8991.0,8269.0,18089.0,89614.0,29788.0,9217.0,17968.0,9183.0,8835.0
160,9024.0,18759.0,9350.0,18230.0,18885.0,112179.0,26922.0,19936.0,29799.0,9473.0,9156.0
161,9187.0,18414.0,8216.0,19149.0,18767.0,110116.0,28006.0,19033.0,19225.0,19344.0,8053.0
162,9440.0,19134.0,8104.0,17450.0,18413.0,100125.0,18455.0,19274.0,18366.0,39498.0,8016.0
163,8735.0,18281.0,9017.0,18741.0,17609.0,100415.0,29114.0,18428.0,8551.0,79634.0,9216.0
164,8803.0,18091.0,9095.0,29069.0,8524.0,111819.0,19340.0,18315.0,19478.0,49395.0,9396.0
165,7941.0,17699.0,9616.0,19379.0,18315.0,109158.0,28933.0,18668.0,18242.0,39079.0,8593.0
166,8790.0,8518.0,9579.0,19078.0,19159.0,112624.0,28922.0,19933.0,9578.0,18741.0,10057.0
167,8613.0,18445.0,9272.0,19057.0,19018.0,100817.0,17317.0,16938.0,19535.0,9283.0,7630.0
168,8813.0,28246.0,9391.0,18606.0,19672.0,111712.0,27971.0,18888.0,19073.0,8240.0,8644.0
169,8392.0,18115.0,8696.0,17797.0,17854.0,97797.0,28532.0,18333.0,18447.0,9251.0,8576.0
170,8594.0,18375.0,18761.0,19148.0,9211.0,111702.0,18244.0,9712.0,18756.0,7518.0,9118.0
171,9135.0,19183.0,9387.0,18575.0,19493.0,124003.0,29797.0,19054.0,18967.0,9130.0,8179.0
172,9607.0,19119.0,9862.0,18837.0,8078.0,103068.0,19669.0,9268.0,28771.0,9820.0,8377.0
173,8804.0,18847.0,7966.0,19285.0,9078.0,101794.0,28181.0,19137.0,9378.0,18418.0,9429.0
174,9072.0,18866.0,9151.0,18771.0,18519.0,122774.0,29030.0,28870.0,8811.0,19121.0,9286.0
175,8653.0,18369.0,8632.0,17310.0,18759.0,109191.0,18968.0,17388.0,18768.0,17741.0,9109.0
