Frame,GridMask,img_backbone,img_neck,extract_img_feat,get_bev_features (frozen),get_bevs,pts_bbox_head.get_detections,select_active_track_query,memory_bank,generate_empty_tracks,query_interact,_forward_single_frame_inference,simple_test_track,seg_head,motion_head,occ_head,planning_head,velo_update
171,3.844,37.884,11.569,57.067,22.707,83.725,7.522,6.559,5.616,5.163,4.548,131.593,137.895,19.082,9.449,13.714,4.981,4.452
172,4.257,21.074,25.502,55.151,11.854,71.408,24.642,6.741,5.205,6.33,6.02,137.671,143.978,12.38,25.381,5.923,19.138,4.814
173,4.15,37.484,19.572,65.4,21.683,91.548,6.878,5.44,4.597,5.853,5.579,139.442,145.665,21.317,5.644,6.053,17.562,5.784
174,4.18,44.926,6.828,60.135,7.559,72.001,30.425,5.153,13.867,6.217,5.877,141.43,147.707,3.877,25.085,5.747,19.231,4.516
175,4.1,39.141,11.696,59.061,27.214,90.596,5.111,6.065,4.994,6.315,6.01,136.436,142.751,18.427,18.393,4.604,16.887,4.813
176,4.348,26.827,21.969,57.501,14.913,76.883,13.257,6.842,5.623,5.29,5.015,138.112,143.439,15.973,11.825,13.656,6.539,4.899
177,4.647,38.191,10.069,57.5,21.98,84.218,6.898,5.056,5.938,5.548,5.314,130.251,135.655,18.051,8.541,14.624,5.178,4.009
178,4.218,39.824,11.514,59.812,27.82,91.987,5.364,5.121,5.969,5.549,5.191,138.019,144.248,17.638,12.11,14.533,7.133,4.828
179,3.987,44.052,6.458,58.493,4.32,66.899,32.338,4.979,6.303,5.901,5.629,138.117,144.134,3.591,24.399,4.65,18.111,4.547
180,3.926,24.853,22.583,55.316,10.415,69.648,16.94,4.352,4.671,4.379,4.099,120.782,126.909,10.649,19.864,4.376,7.147,4.389
181,4.744,38.575,12.571,60.655,25.278,89.351,7.78,6.616,5.819,5.385,5.075,134.942,139.324,23.589,5.158,15.868,7.165,3.915
